ID_Cliente,Nombre,Correo,Telefono,Direccion,Metodo_Pago_ID
CLI00027,Ángela Partida Gollum,citlaliguillen@example.org,608-372-2738,"Calle Chacón 457 Interior 755, Aguascalientes, Ags.Vieja Micronesia, ZAC 73803-7616",MPGO02
CLI00028,Diana Serna Naranjo,agustin07@example.net,05724080051,"Peatonal Tuvalu 605 Edif. 695 , Depto. 922, Aguascalientes, Ags.Vieja Eritrea, BCS 90218",MPGO03
CLI00029,Georgina Mitzy Razo Madrigal,olgavelasco@example.org,(164)205-2305x766,"Callejón Campeche 910 Interior 158, Aguascalientes, Ags.Nueva Camboya, MOR 42263",MPGO02
CLI00030,Fernando Gaona,wcortez@example.net,779-823-4166,"Callejón Tlaxcala 115 Edif. 857 , Depto. 109, Aguascalientes, Ags.Vieja Guinea Bissau, CAMP 69340-6828",MPGO01
CLI00031,Conchita Lovato Archuleta,fariasmercedes@example.net,664-705-3502x0173,"Calzada Iraq 712 926, Aguascalientes, Ags.Vieja República Federal Democrática de Nepal, TAMPS 68787",MPGO03
CLI00032,Manuel Carolina Duarte,guillerminacastaneda@example.net,(558)834-6677,"Pasaje Lituania 895 806, Aguascalientes, Ags.San Frida los altos, MOR 30352-6726",MPGO02
CLI00033,Perla Juan Carlos Baeza,gilberto43@example.com,1-227-600-2348x3993,"Calle Sur Orosco 977 Edif. 570 , Depto. 784, Aguascalientes, Ags.San Timoteo los bajos, TLAX 12777",MPGO04
CLI00034,Lourdes Monroy,tamayoeugenio@example.org,409.248.7013x93059,"Circuito Almanza 288 Interior 001, Aguascalientes, Ags.Nueva Antigua y Barbuda, DF 13119-8857",MPGO02
CLI00035,Ing. Jonás Becerra,eugenio94@example.net,587-723-0290,"Eje vial Hungría 533 Edif. 933 , Depto. 401, Aguascalientes, Ags.San Josefina los bajos, BCS 14414-8454",MPGO01
CLI00036,Eduardo Teresa de la Fuente Valdés,unaranjo@example.net,1-547-374-7776,"Diagonal Villanueva 449 Edif. 251 , Depto. 792, Aguascalientes, Ags.Nueva Rumania, CHIH 08695",MPGO03
CLI00037,Ing. Mario Amaya,olivertellez@example.net,06616428440,"Continuación Meraz 444 704, Aguascalientes, Ags.Nueva Belarús, Q. ROO 96623-1593",MPGO04
CLI00038,Oswaldo Rosas Abrego,cristianvillagomez@example.com,824-995-6155x757,"Pasaje Griego 772 Edif. 728 , Depto. 789, Aguascalientes, Ags.San Sergio de la Montaña, ZAC 34474-5408",MPGO01
CLI00039,Rosa Flavio Macías,rsevilla@example.com,1-256-849-6436x576,"Continuación Leiva 003 Interior 568, Aguascalientes, Ags.San Aldo de la Montaña, MICH 65003",MPGO03
CLI00040,Mtro. Martha Zamora,oscar79@example.org,(289)085-4074,"Boulevard Solís 197 Edif. 742 , Depto. 135, Aguascalientes, Ags.Nueva Jordania, HGO 04923",MPGO01
CLI00041,Lic. Víctor Trejo,eangulo@example.net,142.403.1244x2784,"Privada Norte Castillo 990 049, Aguascalientes, Ags.San Francisco Javier de la Montaña, Q. ROO 62974-9238",MPGO02
CLI00042,Eduardo Sara Arreola Zelaya,juliabenavidez@example.net,1-756-956-7071x13208,"Pasaje Sierra 738 723, Aguascalientes, Ags.Nueva Barbados, MICH 84114",MPGO02
CLI00043,Wilfrido Gilberto Irizarry,leticia68@example.net,(041)005-7248,"Circunvalación Robles 369 649, Aguascalientes, Ags.Vieja Sri Lanka, TAB 15197-0336",MPGO04
CLI00044,Ruby Soledad Vázquez Luna,gastelumesparta@example.com,(866)476-0176x978,"Viaducto Malawi 205 752, Aguascalientes, Ags.Nueva Sudán, QRO 87160",MPGO02
CLI00045,Manuel González Cazares,citlalivega@example.net,1-147-050-0895,"Calzada Sur Méndez 967 Interior 362, Aguascalientes, Ags.San Nancy los bajos, PUE 70369",MPGO02
CLI00046,Ángela Candelaria Ulloa,zgalarza@example.com,1-011-813-1396x7587,"Corredor Sur Partida 992 Interior 814, Aguascalientes, Ags.Vieja Argelia, CHIS 19213",MPGO04
CLI00047,Luis Manuel Paredes Treviño,baguilera@example.com,891-609-5933,"Diagonal Oaxaca 382 Interior 823, Aguascalientes, Ags.Nueva Comoras, SIN 81345",MPGO04
CLI00048,Bernabé Carrero,zvargas@example.net,(678)350-9519,"Calzada Tafoya 135 122, Aguascalientes, Ags.Nueva Emiratos Árabes Unidos, BC 47688",MPGO01
CLI00049,Jos Javier Carrasco,rodolfo34@example.net,1-533-080-1680x04773,"Circuito Mali 352 Interior 130, Aguascalientes, Ags.San Guadalupe los bajos, BCS 90312-0073",MPGO01
CLI00050,Ramiro Yuridia García Fierro,fuentesenrique@example.net,607.493.2171x8756,"Diagonal Veracruz de Ignacio de la Llave 391 Edif. 160 , Depto. 314, Aguascalientes, Ags.Nueva Benin, MOR 13198",MPGO01
CLI00051,Jaime Irene Jáquez,casareslourdes@example.org,932-530-2583,"Retorno Norte Riojas 015 Edif. 413 , Depto. 443, Aguascalientes, Ags.Nueva Nicaragua, COL 95747",MPGO01
CLI00052,Reina Carlota Gutiérrez Ballesteros,naparicio@example.org,982-495-1569x0597,"Boulevard Villegas 821 029, Aguascalientes, Ags.Vieja República Árabe Siria, ZAC 64448-3242",MPGO03
CLI00053,Ing. María Teresa Mesa,econtreras@example.org,959.896.1599x53060,"Peatonal Italia 432 Edif. 015 , Depto. 652, Aguascalientes, Ags.Vieja Estados Unidos de América, VER 08596",MPGO04
CLI00054,Raúl Henríquez,pcardona@example.net,03516490247,"Peatonal Tabasco 620 Interior 585, Aguascalientes, Ags.San Ernesto los altos, AGS 22695-1834",MPGO01
CLI00055,Homero Serna Caraballo,teodorogil@example.com,598-918-5688,"Cerrada Patiño 755 Interior 174, Aguascalientes, Ags.San Diana de la Montaña, SIN 39351",MPGO02
CLI00056,Susana Josefina Ramos Patiño,luisa38@example.org,408.434.6857,"Corredor Norte Solorio 279 239, Aguascalientes, Ags.Nueva República Centroafricana, CAMP 51113",MPGO01
CLI00057,Omar Castellanos,moralescynthia@example.org,555-494-9061x412,"Retorno Ríos 268 978, Aguascalientes, Ags.San Nayeli los bajos, TAMPS 45988-1773",MPGO03
CLI00058,Elena Judith Jáquez Arce,ccalderon@example.net,373.614.5526,"Andador Llamas 443 141, Aguascalientes, Ags.San Guillermo los bajos, TLAX 58712-5893",MPGO03
CLI00059,Jorge Sauceda Bahena,mauro05@example.org,1-723-268-5837,"Boulevard Guinea 017 Edif. 211 , Depto. 521, Aguascalientes, Ags.Vieja Canadá, CHIH 77472",MPGO01
CLI00060,Elena Noemí Campos,ferrermanuel@example.net,935.453.4312x5442,"Viaducto Sinaloa 811 Interior 673, Aguascalientes, Ags.Nueva Antigua y Barbuda, VER 72971-3208",MPGO03
CLI00061,Ariadna Gaona,castilloruby@example.com,492-491-3176x79176,"Boulevard Afganistán 538 Interior 043, Aguascalientes, Ags.Vieja Comoras, JAL 07079",MPGO03
CLI00062,Trinidad Gaytán Villareal,gzambrano@example.org,266.141.7795x71192,"Calzada Norte Tejada 075 Interior 309, Aguascalientes, Ags.San Tania los altos, HGO 90035-9452",MPGO04
CLI00063,Adán Blanco Lomeli,esther44@example.org,1-321-482-4147x8904,"Avenida Norte Rosario 285 771, Aguascalientes, Ags.San Mauro de la Montaña, JAL 36775",MPGO01
CLI00064,Guadalupe Matías Rodríguez,aidavallejo@example.org,1-309-547-6682x82892,"Privada Sur Briones 301 316, Aguascalientes, Ags.Nueva Finlandia, BCS 77395",MPGO03
CLI00065,Mónica Olmos Alejandro,tmanzanares@example.com,802.421.3907x1388,"Continuación Norte Ordóñez 763 055, Aguascalientes, Ags.Vieja Ucrania, HGO 28805",MPGO03
CLI00066,Josefina Fidel Armenta,isabela40@example.com,09775040962,"Privada Nieves 654 Edif. 966 , Depto. 239, Aguascalientes, Ags.Nueva Irán, QRO 96668-9297",MPGO02
CLI00067,Jacobo Ramírez,zarchuleta@example.org,(120)412-1251x8440,"Eje vial Norte Muñoz 649 Interior 817, Aguascalientes, Ags.Vieja Uzbekistán, AGS 70740-3288",MPGO01
CLI00068,Ilse Guzmán Rosario,noemi74@example.com,322.112.4587x85872,"Periférico Irlanda 261 Interior 640, Aguascalientes, Ags.Vieja Mónaco, ZAC 83588",MPGO01
CLI00069,Roberto Chávez,canoarmando@example.net,+97(9)4074668207,"Andador Colima 923 Edif. 469 , Depto. 286, Aguascalientes, Ags.San Claudio los bajos, PUE 50690",MPGO03
CLI00070,Sergio Bernabé Solorio,cervantezamelia@example.com,970.138.6070x4977,"Andador Sinaloa 286 531, Aguascalientes, Ags.San Gilberto los bajos, PUE 84342-5819",MPGO03
CLI00071,Lorenzo Herrera,soledadregalado@example.org,05924880567,"Viaducto Sur Delgado 670 075, Aguascalientes, Ags.San Cornelio los bajos, QRO 03176-9645",MPGO02
CLI00072,Nancy Bernardo Escalante Sepúlveda,godoygerman@example.com,366.130.1259x055,"Calzada El Salvador 228 Interior 523, Aguascalientes, Ags.San José Carlos de la Montaña, AGS 55146-0223",MPGO02
CLI00073,Enrique Marisol Montes Nava,negronmayte@example.org,(381)493-7033x1413,"Privada San Luis Potosí 557 781, Aguascalientes, Ags.San Nicolás de la Montaña, GTO 94773-0706",MPGO03
CLI00074,Alta  Gracia Clemente Pantoja Barreto,razoleonardo@example.org,+91(5)3427319421,"Circunvalación Noruega 520 Interior 032, Aguascalientes, Ags.San Cristobal los bajos, CHIS 98387",MPGO01
CLI00075,Mtro. Felix Quintero,mariano63@example.org,983-829-3681x50770,"Retorno San Luis Potosí 152 Interior 062, Aguascalientes, Ags.Vieja Costa Rica, ZAC 48959-1492",MPGO02
CLI00076,Perla Puente Duarte,diegoarmendariz@example.net,1-095-171-0579x41487,"Viaducto Rodarte 401 149, Aguascalientes, Ags.Vieja Australia, AGS 15044-6573",MPGO02
CLI00077,Samuel Delia Ontiveros,gotero@example.net,(721)957-9430,"Retorno Coronado 462 700, Aguascalientes, Ags.Vieja Luxemburgo, DF 73961",MPGO04
CLI00078,Sonia Tovar,pde-jesus@example.org,(060)219-1915,"Eje vial Norte Tamayo 419 Interior 598, Aguascalientes, Ags.Nueva Estados Unidos de América, MICH 25021-9167",MPGO01
CLI00079,Paulina Benjamín Avilés,alcarazfidel@example.org,02756298700,"Prolongación Cabo Verde 694 Edif. 372 , Depto. 653, Aguascalientes, Ags.Nueva República Centroafricana, ZAC 83930-1408",MPGO04
CLI00080,Alejandro Briseño Escobedo,pinedamariana@example.com,(765)778-0967,"Circuito Norte Carrión 951 Edif. 571 , Depto. 612, Aguascalientes, Ags.San Rodolfo de la Montaña, SLP 44639-6540",MPGO03
CLI00081,Lucía Olivia de la Garza,vguevara@example.com,346.529.4830x303,"Calle Segura 774 Edif. 874 , Depto. 407, Aguascalientes, Ags.San Perla de la Montaña, HGO 79376-5546",MPGO02
CLI00082,Eugenia Zamora Echeverría,haromaria-cristina@example.com,(671)109-0543,"Peatonal Campeche 582 Interior 742, Aguascalientes, Ags.Nueva Italia, CAMP 53148-8046",MPGO04
CLI00083,Miriam María Luisa Godoy,correarodrigo@example.net,732-717-4203,"Privada Becerra 294 725, Aguascalientes, Ags.Vieja Liberia, BCS 49147",MPGO02
CLI00084,Ing. Nelly Quiñones,oscar28@example.net,(789)206-9014x53117,"Pasaje Botswana 516 Interior 959, Aguascalientes, Ags.San Bruno los bajos, NAY 60456-0667",MPGO03
CLI00085,Lic. Daniel Valencia,amadorlebron@example.net,442.911.7669x368,"Eje vial Girón 898 431, Aguascalientes, Ags.San Camila los altos, NAY 78623",MPGO02
CLI00086,José Luis Portillo,perezrodolfo@example.net,+19(8)4211358364,"Andador Pabón 840 Edif. 286 , Depto. 407, Aguascalientes, Ags.San Conchita los altos, GRO 69047-2585",MPGO02
CLI00087,Lic. Arturo Villalobos,wcaballero@example.com,376-580-0249,"Privada Islas Salomón 607 Interior 658, Aguascalientes, Ags.San Jos los bajos, TAMPS 04014-3639",MPGO02
CLI00088,Guillermina Montoya Meraz,hinojosaclaudia@example.com,(398)934-7198x036,"Peatonal Rosas 354 638, Aguascalientes, Ags.San Aida de la Montaña, CAMP 78199-9079",MPGO04
CLI00089,Ing. Esparta Gonzales,angelica58@example.org,(846)453-0137x491,"Boulevard Juárez 492 Edif. 610 , Depto. 965, Aguascalientes, Ags.San Juana de la Montaña, TAB 87823-5507",MPGO04
CLI00090,Araceli Matos,jcaballero@example.net,1-206-934-6027x9209,"Circunvalación Norte Armas 622 Interior 414, Aguascalientes, Ags.San Camila de la Montaña, BCS 95045",MPGO01
CLI00091,Julio Nieto,cristal22@example.org,275-850-3197x115,"Viaducto Sur Piña 161 Edif. 998 , Depto. 196, Aguascalientes, Ags.San Rosalia de la Montaña, DGO 89414-8825",MPGO01
CLI00092,Fernando Pablo Fierro Melgar,luisavalles@example.net,348-583-6963x7792,"Continuación Baja California 936 Edif. 474 , Depto. 973, Aguascalientes, Ags.San Ramiro los bajos, SLP 66471-6676",MPGO03
CLI00093,Isabela Cardenas,de-andaofelia@example.net,1-572-263-8399x6428,"Prolongación Sur Coronado 604 706, Aguascalientes, Ags.Nueva Dominicana, MOR 12972-7806",MPGO03
CLI00094,Mtro. Ignacio Zambrano,silvanoalarcon@example.com,718.266.0948x984,"Cerrada Burgos 042 638, Aguascalientes, Ags.Nueva Sierra Leona, OAX 04613-2918",MPGO04
CLI00095,Victoria Cornelio Alva de la Rosa,carranzamarco-antonio@example.net,1-475-652-9453,"Callejón Letonia 837 988, Aguascalientes, Ags.Nueva Djibouti, MOR 40579-1129",MPGO03
CLI00096,José Carlos José Carlos Viera,icadena@example.com,159-083-8515x40848,"Circunvalación Escobar 658 Interior 052, Aguascalientes, Ags.Nueva Túnez, TAMPS 96249",MPGO03
CLI00097,Manuel Leiva Ruelas,estebanrivero@example.net,(351)564-9261x613,"Privada Norte Viera 654 Edif. 084 , Depto. 907, Aguascalientes, Ags.Nueva Yemen, VER 95693",MPGO01
CLI00098,Amelia Francisca Orosco,aparicioaraceli@example.org,022.378.7308x03869,"Eje vial Reyna 124 Interior 075, Aguascalientes, Ags.San Alejandra de la Montaña, ZAC 18805-7124",MPGO03
CLI00099,Lourdes Cortez,mauroesquibel@example.org,01856202528,"Corredor República Dominicana 083 Interior 093, Aguascalientes, Ags.San Perla los altos, MEX 58548-0286",MPGO01
CLI00100,Jerónimo Barela,igamez@example.net,1-652-691-2836x155,"Peatonal Domínguez 007 Edif. 940 , Depto. 283, Aguascalientes, Ags.San Ariadna los altos, DGO 39195-4887",MPGO03
CLI00101,Adela René Fernández,manuel96@example.net,+61(3)9878932678,"Eje vial Aguascalientes 610 Edif. 572 , Depto. 248, Aguascalientes, Ags.Nueva Eslovaquia, HGO 22860-3572",MPGO01
CLI00102,Sonia Soledad Oquendo Posada,xmelendez@example.net,1-053-297-4093x264,"Retorno Sisneros 471 Edif. 058 , Depto. 556, Aguascalientes, Ags.San Javier los altos, MEX 61441",MPGO04
CLI00103,Vicente Puente Carmona,maderalorena@example.net,1-656-285-3554,"Prolongación Alarcón 798 416, Aguascalientes, Ags.San Sofía los altos, VER 33277",MPGO02
CLI00104,Alfonso Peralta Bermúdez,pgarrido@example.com,092-170-5392,"Corredor Nuevo León 823 154, Aguascalientes, Ags.San Rosalia los bajos, BCS 27056",MPGO03
CLI00105,Ricardo Martha Chávez,benavidezvictor@example.org,125.759.2965x572,"Diagonal Morelos 771 Interior 200, Aguascalientes, Ags.Vieja Gabón, HGO 69897-4443",MPGO04
CLI00106,Horacio Nava Sanches,andrea14@example.net,+99(0)5330111147,"Boulevard Becerra 598 Edif. 713 , Depto. 743, Aguascalientes, Ags.Nueva Finlandia, QRO 72029",MPGO03
CLI00107,Mtro. Carmen Enríquez,valenzuelaesperanza@example.net,04715339493,"Retorno Yucatán 059 Interior 703, Aguascalientes, Ags.San Reina de la Montaña, NL 66705",MPGO04
CLI00108,Mariano Nicolás Lemus Valverde,evafranco@example.net,1-574-352-0203x21386,"Retorno Nicaragua 924 Interior 784, Aguascalientes, Ags.Vieja Tuvalu, DF 67427-0931",MPGO03
CLI00109,Wendolin Bernardo Munguía,gomezsonia@example.net,836-473-2541x56847,"Viaducto Venezuela 242 Edif. 008 , Depto. 067, Aguascalientes, Ags.San Francisca de la Montaña, MICH 26432-8440",MPGO02
CLI00110,Carmen Rolando Almonte,salcedoaldonza@example.com,546.810.2796,"Prolongación Querétaro 275 Edif. 269 , Depto. 718, Aguascalientes, Ags.Nueva Federación de Rusia, MICH 70018",MPGO04
CLI00111,Lic. Carlos Munguía,juan18@example.org,(843)270-6827,"Peatonal Sur Salas 507 823, Aguascalientes, Ags.San Cristian de la Montaña, MICH 64033",MPGO01
CLI00112,Ivonne Casillas,fabiola65@example.org,651-460-5147x08794,"Andador Norte Merino 094 Edif. 532 , Depto. 114, Aguascalientes, Ags.Vieja Jamaica, JAL 11578",MPGO03
CLI00113,Mayte Fuentes,helenasamaniego@example.org,1-419-668-0276,"Retorno Morelos 514 Edif. 805 , Depto. 022, Aguascalientes, Ags.San Andrea de la Montaña, BC 40725-3331",MPGO04
CLI00114,Abril Daniel Segovia,diana27@example.com,+03(0)0207960168,"Privada Sur Razo 910 394, Aguascalientes, Ags.Nueva Myanmar, MOR 62015",MPGO02
CLI00115,Ángela Samuel Zaragoza,estela60@example.com,(241)124-2713x587,"Callejón Lira 646 366, Aguascalientes, Ags.San Karla los altos, BCS 68839",MPGO02
CLI00116,Concepción Mario Rosas Rico,cejaeduardo@example.com,042-625-2990x2292,"Corredor Sisneros 285 730, Aguascalientes, Ags.Nueva Haití, GTO 08465",MPGO03
CLI00117,Dr. Antonio Madera,aldonzamontemayor@example.org,765.926.7496,"Boulevard Namibia 392 Edif. 005 , Depto. 088, Aguascalientes, Ags.San Soledad los altos, TAB 21244",MPGO01
CLI00118,Lucas Florencia Ureña Cadena,margarita27@example.net,(222)445-8349,"Circuito Norte Tamez 336 448, Aguascalientes, Ags.Vieja Camboya, MEX 97248-9292",MPGO03
CLI00119,Victoria Tejada,ursulanarvaez@example.com,1-248-647-3335,"Cerrada Norte Collazo 985 Interior 485, Aguascalientes, Ags.Nueva Sri Lanka, TAB 55276",MPGO01
CLI00120,Lorenzo Renato Rosales,cnoriega@example.org,1-166-940-0434,"Viaducto Camacho 660 647, Aguascalientes, Ags.Vieja Sudán del Sur, MOR 19615-1763",MPGO03
CLI00121,Sr(a). Sonia Villaseñor,arcelia94@example.com,419.014.6070,"Diagonal Norte Arguello 354 501, Aguascalientes, Ags.Vieja San Vicente y las Granadinas, AGS 00591-0554",MPGO01
CLI00122,Carlota Wendolin Carrera Briseño,dulcenavarro@example.com,08584338785,"Circuito Montoya 615 960, Aguascalientes, Ags.Nueva Zimbabwe, COL 68058-4093",MPGO03
CLI00123,Amelia Gonzales,antonia31@example.com,580.474.2914,"Pasaje Côte d'Ivoire 332 326, Aguascalientes, Ags.Vieja Guinea Bissau, BCS 07100",MPGO02
CLI00124,Lic. Guadalupe Hurtado,nicolas83@example.org,(127)855-0039,"Cerrada Guinea Ecuatorial 882 568, Aguascalientes, Ags.San Darío los altos, COL 12359",MPGO03
CLI00125,Violeta Marcos Estrada Escamilla,umares@example.org,1-433-171-3912,"Privada Sur Griego 249 Interior 315, Aguascalientes, Ags.San Micaela los altos, TAB 97182",MPGO04
CLI00126,Guadalupe Valdés Núñez,dgonzalez@example.org,+59(5)0720410725,"Continuación Guanajuato 657 Edif. 290 , Depto. 909, Aguascalientes, Ags.Vieja República Árabe Siria, BC 15181-9819",MPGO04
CLI00127,Rufino Alvarez,ruizamanda@example.com,+75(1)3621110862,"Viaducto Guanajuato 843 Interior 960, Aguascalientes, Ags.San Cristian los bajos, NAY 93146",MPGO03
CLI00128,Elisa Lilia Valenzuela,riojasporfirio@example.org,469.713.9891x082,"Periférico Sur Rico 908 Edif. 689 , Depto. 040, Aguascalientes, Ags.Vieja China, BCS 23847-9804",MPGO04
CLI00129,Karla Alvaro Barragán,rosadogonzalo@example.com,1-236-876-0093,"Calzada Matos 141 Interior 935, Aguascalientes, Ags.Vieja Afganistán, MICH 97295-1765",MPGO02
CLI00130,Adán Carbajal Granado,roblesarturo@example.net,379.142.2970x811,"Callejón Morelos 691 493, Aguascalientes, Ags.San Alonso los bajos, MICH 96285-4663",MPGO04
CLI00131,Natividad Godoy Arguello,sierrajose-maria@example.net,+39(4)2680507663,"Circuito Chihuahua 916 154, Aguascalientes, Ags.San Mauro de la Montaña, COL 45802",MPGO03
CLI00132,Sr(a). Carlos Enríquez,ochoaoliver@example.org,(615)209-9202,"Privada Sur Mayorga 976 118, Aguascalientes, Ags.Nueva Bolivia, ZAC 88701",MPGO01
CLI00133,Camila Maldonado Ramírez,caridadjasso@example.org,1-177-906-0829,"Viaducto Caballero 826 217, Aguascalientes, Ags.Nueva Camerún, NL 12399-0915",MPGO01
CLI00134,Cornelio Candelaria Ruelas,gmerino@example.net,1-812-461-0972,"Peatonal Camerún 087 376, Aguascalientes, Ags.San Sandra de la Montaña, TAMPS 99839",MPGO02
CLI00135,Julio Olivárez Jaimes,concepcion45@example.net,01119380857,"Continuación Norte Bernal 084 554, Aguascalientes, Ags.San Joaquín los altos, DF 02313-1042",MPGO02
CLI00136,Porfirio Sosa,alfarooscar@example.net,565-191-7202x15320,"Viaducto Sur Becerra 721 Interior 171, Aguascalientes, Ags.San Luisa los altos, YUC 90576-6449",MPGO01
CLI00137,Manuel Pacheco Duarte,pablonazario@example.net,907.471.1491,"Privada Nieves 720 Interior 736, Aguascalientes, Ags.San Dalia los bajos, PUE 86070-6239",MPGO02
CLI00138,Mónica Gracia,joseluna@example.net,353-579-9800x42901,"Continuación Irlanda 654 866, Aguascalientes, Ags.San Sessa de la Montaña, YUC 13929",MPGO02
CLI00139,César Arguello,rufinoteran@example.com,798-571-9474x449,"Continuación Vera 335 Interior 674, Aguascalientes, Ags.San María Luisa de la Montaña, VER 01199",MPGO03
CLI00140,Amador Gabino Montes Domínguez,josefinagaray@example.net,654-186-0987x3034,"Circunvalación Kuwait 598 Edif. 774 , Depto. 608, Aguascalientes, Ags.San Úrsula los bajos, TLAX 13702",MPGO01
CLI00141,Ana Genaro Casárez Zelaya,guillerminaguillen@example.net,(620)565-6198x8519,"Periférico Guinea Ecuatorial 203 Edif. 479 , Depto. 839, Aguascalientes, Ags.Nueva Bulgaria, Q. ROO 34860",MPGO04
CLI00142,Ignacio Cynthia Barraza,judith02@example.com,(550)722-4122,"Corredor Michoacán de Ocampo 404 806, Aguascalientes, Ags.San Hugo de la Montaña, DF 98706-5060",MPGO04
